Hero,Name,Gender
PROTO-GOBLIN/VAN ADD,"('Michael van Patrick (Patrick) (Earth-616)', 86)",Male
TRIATHLON/DELROY GAR,"('Ramon de Rico (Earth-616)', 55)",Male
"BEALE, ERIC","('Eric Masterson (Earth-616)', 86)",Male
IRON MAN IV/JAMES R.,"('Wolverine (James \\""Logan\\"" Howlett)', 86)",Male
PAGAN,"('Pagan (Earth-616)', 90)",Male
"ERWIN, CLYTEMNESTRA","('Clytemnestra Erwin (Earth-616)', 86)",Female
TRITON,"('Triton (Earth-616)', 90)",Male
"SHAW, JACOB","('Sebastian Shaw (Earth-616)', 86)",Male
RALF,"('Ralf (Earth-616)', 90)",Male
BLOODAXE/JACKIE LUKU,"('Jackie Lukus (Earth-616)', 59)",Female
"KRAMER, STACEY","('Stacey Yorkes (Earth-616)', 86)",Female
"CUSSLER, PHILLIP","('Phillip Masters (Earth-616)', 86)",Male
"DE LA JOYA, SISTER M","('Valentina Allegra de Fontaine (Earth-616)', 86)",Female
TRUTH II,"('Shingen Harada II (Earth-616)', 86)",Male
PHANTOM EAGLE,"('Space Phantom (Earth-616)', 86)",Male
NAUTILUS,"('Ignatius Fowler (Earth-616)', 74)",Male
"KNIGHT, LEO","('Mercedes Knight (Earth-616)', 86)",Female
"DOLAN, CAPT. THOMAS","('Thomas Thunderhead (Earth-616)', 86)",Male
"HOARD, JOSH","('Josh Kittling (Earth-616)', 86)",Male
"FISHMAN, DR. JONATHA","('Steven Rogers (Dr Bong Clone) (Earth-616)', 86)",Male
SPOILSPORT/,"('Spoilsport (Earth-616)', 90)",Female
"TSO, JASON","('Jason Wyngarde (Earth-616)', 86)",Male
"ROMANO, TONY","('Iron Man (Anthony \\""Tony\\"" Stark)', 86)",Male
DRAGONFLY/VERONICA D,"('George Tarleton (M.O.D.O.K. Superior) (Earth-616)', 86)",Male
DEFENSOR,"('Lord Defender (Earth-616)', 68)",Male
EXALT,"('Exalt (Earth-616)', 90)",Male
DR. ANGST/FLOYD MANG,"('Steven Rogers (Dr Bong Clone) (Earth-616)', 86)",Male
"RENKO, DR. IRENO","('Claudine Renko (Earth-616)', 86)",Female
"SONDHEIM, ERICA","('Erica Sondheim (Earth-616)', 86)",Female
PRINCE BAYAN,"('Prince Baran (Earth-616)', 86)",Male
MADAME MASQUE V,"('Masque (Morlock) (Earth-616)', 86)",Male
BOGATYR/MIKULA GOLUB,"('Mikula Golubev (Earth-616)', 65)",Male
WRECKER III/DIRK GAR,"('Warren Worthington III (Earth-616)', 86)",Male
BLACK FOX II/,"('Noah Black (Earth-616)', 86)",Male
"LITTLEWING, SUSIE","('Deathwings', 54)",nan
ANTRO,"('Nanotron', 77)",Female
"MCGRILL, MARY","('Mary Jane Watson (Earth-616)', 86)",Female
EPOCH,"('Epoch (Earth-616)', 90)",Female
GLEEG,"('Lee Guardineer (Earth-616)', 72)",Male
"THOMAS, IDA","('Thomas Raymond (Earth-616)', 86)",Male
"CUMMINGS, DIANE","('Diane Arliss (Earth-616)', 86)",Female
"SZARDOS, MARGALI","('Jimaine Szardos (Earth-616)', 86)",Female
BRAIN CELL/,"('Brain Cell (Kevin) (Earth-616)', 90)",Male
COLLECTIVE MAN,"('Spider-Man (Peter Parker)', 86)",Male
DIAMONDBACK II/RACHE,"('Seeker II (Inhuman) (Earth-616)', 86)",Male
BLACKBIRD/,"('Blackbyrd (Earth-616)', 80)",Male
"JONES, LOUISE","('Richard Jones (Earth-616)', 86)",Male
WORMWOOD,"('Wormwood (Dark Elf) (Earth-616)', 90)",Male
MARGOYLE,"('Margoyle (Earth-616)', 90)",Female
"MERCADO, JOY","('Joy Mercado (Earth-616)', 86)",Female
NECRODAMUS,"('Necrodamus (Earth-616)', 90)",Male
"NORTH, DAKOTA","('Samuel North (Earth-616)', 86)",Male
"SMITH, HELEN BACK","('Denis Nayland Smith (Earth-616)', 86)",Male
SYRRH,"('Byrrah (Earth-616)', 72)",Male
NIGHT PHANTOM/TRAVIS,"('Night Raven (Vigilante) (Earth-616)', 86)",Male
"FILLMORE, BETTY","('Betty Swanson (Earth-616)', 86)",Female
"DENNEHY, ROBERT","('Hulk (Robert Bruce Banner)', 86)",Male
W'KANDRO,"(""W'kandro (Earth-616)"", 90)",Male
"LO, JIMMY","('Fah Lo Suee (Earth-616)', 86)",Female
CANE/,"('Chipper (Hurricane) (Earth-616)', 90)",nan
"MCCOURT, ALLISON","('Allison McCourt (Earth-616)', 86)",Female
CANDY,"('Candy Fraser (Earth-616)', 90)",Female
STORM/ORORO MUNROE S,"('Jonathan Storm (Heroes Reborn) (Earth-616)', 86)",Male
"HATCHWAY, VERNON","('Vernon van Dyne (Earth-616)', 86)",Male
"LIPSCOMB, DR. ANGELA","('Steven Rogers (Dr Bong Clone) (Earth-616)', 86)",Male
NEPHRI,"('Nephri (Earth-616)', 90)",Female
"JESSUP, DR.","('Randall Jessup (Earth-616)', 86)",Male
ANT-MAN/DR. HENRY J.,"('Iron Man (Anthony \\""Tony\\"" Stark)', 86)",Male
MAGIK/ILLYANA RASPUT,"('Illyana Rasputina (Earth-616)', 65)",Female
JESTER/JONATHAN POWE,"('Jonathan Storm (Heroes Reborn) (Earth-616)', 86)",Male
"AUSTIN, GEN.","('Susan Austin (Earth-616)', 86)",Female
NINJA/,"('Ogun (Ninja) (Earth-616)', 90)",Male
KRISTA,"('Krista (Earth-616)', 90)",Female
MURDER,"('Murderous Lion (Earth-616)', 90)",Male
PROFESSOR X | EARTH ,"('Professor Rabin (Earth-616)', 89)",Male
DARK,"('Raven Darkholme (Earth-616)', 90)",Female
NAKKA,"('Nakka (Earth-616)', 90)",Male
ORINI,"('Orini (Earth-616)', 90)",Male
JINX,"('Jinx (Theodore) (Earth-616)', 90)",Male
"HOUSTON, STELLA","('Stella (Washington Heights) (Earth-616)', 86)",Female
"TRASK, DR. DONALD TR","('Donald Blake (Mystic Spell) (Earth-616)', 86)",Male
"BUCKMAN, EDWARD","('Edward Brock (Earth-616)', 86)",Male
"STRINGER, AMY","('Amy Powell (Earth-616)', 86)",Female
KILLER SHRIKE/SIMON ,"('Simon Williams (Skrull) (Earth-616)', 86)",Male
JUTTA,"('Jutta (Earth-616)', 90)",Female
"LINCOLN, WILLIAM WIL","('Steven Rogers (William Burnside) (Earth-616)', 86)",Male
STARSHINE II/BRANDY ,"('Seeker II (Inhuman) (Earth-616)', 86)",Male
"LANDERS, DR.","('Gena Landers (Earth-616)', 86)",Female
SANDMAN/WILLIAM BAKE,"('Steven Rogers (William Burnside) (Earth-616)', 86)",Male
SANDY,"('Sandy Kintzler (Earth-616)', 90)",Female
"KLEIN, STANLEY","('Stanley Carter (Earth-616)', 86)",Male
BLACKBODY,"('Arthur Blackwood (Earth-616)', 70)",Male
"ALEXANDER, CALEB","('Alexander Summers (Earth-616)', 86)",Male
"WINTHROP, DESIREE","('Desiree Winthrop (Earth-616)', 86)",Female
METOXO,"('Mento-Fish (Earth-616)', 62)",nan
KNOCKABOUT/,"('Noah Burstein (Earth-616)', 54)",Male
FIRESTAR | MUTANT X-,"('Headhunter (Mutant) (Earth-616)', 86)",Female
"REYES, DR. CECELIA","('Steven Rogers (Dr Bong Clone) (Earth-616)', 86)",Male
"CHALMERS, JUDGE ROBE","('Robert Chalmers (Earth-616)', 65)",Male
RAMAN,"('Lilandra Neramani (Earth-616)', 90)",Female
"STEWART, MARY","('Mary Jane Watson (Earth-616)', 86)",Female
IRONCLAD,"('Veronica Dultry (Earth-616)', 68)",Female
DEATHSTROKE/,"('Lord Deathstrike (Earth-616)', 82)",Male
OBLITERATOR II,"('Shingen Harada II (Earth-616)', 86)",Male
GRIFFIN,"('Griffin Gogol (Earth-616)', 90)",Male
MOONDRAGON DOPPELGAN,"('James Madrox (Doppelganger) (Earth-616)', 63)",nan
TIMESLIP/RINA PATEL,"('Mary Rina (Heroes Reborn) (Earth-616)', 86)",Female
PLAZM,"('Plazm (Earth-616)', 90)",Male
CLEOPATRA,"('Leopard Girl (Gwen) (Earth-616)', 61)",Female
"SAUNDERS, DABNEY","('Craig Saunders Jr. (Earth-616)', 86)",Male
PERSEPHONE II,"('Shingen Harada II (Earth-616)', 86)",Male
HYBRID/JAMES JIMMY M,"('Wolverine (James \\""Logan\\"" Howlett)', 86)",Male
"WOLFE, HEDY","('Hedy Wolfe (Earth-616)', 86)",Female
TOTEM,"('Living Totem (Alien) (Earth-616)', 90)",nan
"CARTER, JIMMY","('Sharon Carter (Earth-616)', 86)",Female
"MORELLE, NOLAN","('Lindy Nolan (Earth-616)', 86)",Female
"MCMURRAY, YVONNE","('Dennis Murray (Earth-616)', 50)",Male
AGENT AXIS/,"('Agent Axis (Earth-616)', 90)",Male
VAPOR,"('Vapora (Earth-616)', 90)",Female
MARITA,"('Marita (Earth-616)', 90)",Female
NECROM,"('Necromon (Earth-616)', 90)",Male
TIMESHADOW,"('Timeshadow (Earth-616)', 90)",Male
PSYCHE II/PSYKOS/RON,"('Seeker II (Inhuman) (Earth-616)', 86)",Male
ESSEX,"('Nathaniel Essex (Earth-616)', 90)",Male
WITNESS/NESS,"('Witness (WWII) (Earth-616)', 86)",Male
NOCTURNE/,"('Nocturne (Earth-616)', 90)",Male
"HAWKINS, DR. EDWIN E","('Edwin Jarvis (Skrull) (Earth-616)', 86)",Male
BROTHER ROYAL,"('Brother Royal (Earth-616)', 90)",Male
"MACINTOSH, ANN","('Ann Darnell (Earth-616)', 86)",Female
"GRIFFITH, D.W.","('David Griffith (Earth-616)', 86)",Male
"PARKER, MAY","('Spider-Man (Peter Parker)', 86)",Male
"STORM, SUE | TIMESLI","('Jonathan Storm (Heroes Reborn) (Earth-616)', 86)",Male
LOCKHEED,"('Lockheed (Earth-616)', 90)",Male
"DEVINE, ANTON","('Anton Miguel Rodriquez (Earth-616)', 86)",Male
"PRAZNIKI, VICTOR","('Victor von Doom (Earth-616)', 86)",Male
KUROKO/,"('Richard Yurocko (Earth-616)', 75)",Male
SKYMAX/SK'YM'X/JAMES,"('Wolverine (James \\""Logan\\"" Howlett)', 86)",Male
"GILMORE, BERT","('Richard Gilmore (Earth-616)', 86)",Male
HUMBUG/PROF. B. MITT,"('Humanoid Experimental Robot B-Type Integrated Electronics (Earth-616)', 86)",Male
"THOMAS, COMMANDER DA","('Roberto da Costa (Reignfire) (Earth-616)', 86)",Male
NIMROD III,"('Warren Worthington III (Earth-616)', 86)",Male
MADAME WEB/CASSANDRA,"('Cassandra Nova Xavier (Earth-616)', 86)",Female
"AVRIL, YVETTE","('Sally Avril (Earth-616)', 86)",Female
CAT III/SHEN KUEI,"('Warren Worthington III (Earth-616)', 86)",Male
LORD GASPAR,"('Lord Chaos (Earth-616)', 86)",nan
NICKEL,"('Nickel (Element) (Earth-616)', 90)",nan
"ZOTA, CARLO","('Carlo Zota (Earth-616)', 86)",Male
"SEGAR, OWEN","('Owen Reece (Earth-616)', 86)",Male
DORMA II [ATLANTEAN],"('Giganto (Atlantean beast) (Earth-616)', 86)",Male
WHIPLASH II/,"('Shingen Harada II (Earth-616)', 86)",Male
PLEX INTELLIGENCE,"('Supreme Intelligence (Earth-616)', 86)",Male
"KNOBLACH, GLORIA","('Gloria Mu\\u00f1oz (Earth-616)', 86)",Female
"CODY, GARY","('Gary Gilbert (Earth-616)', 86)",Male
THALLIUM,"('Thallium (Element) (Earth-616)', 90)",nan
STINKY,"('Stinky (Earth-616)', 90)",Male
DEATHLOK II/COL. JOH,"('Seeker II (Inhuman) (Earth-616)', 86)",Male
HAUPTMANN ENGLAND,"('Jurgen Hauptmann (Earth-616)', 86)",Male
"BLAKE, BECKY","('Donald Blake (Earth-616)', 86)",Male
MAGUIRE,"('Andrew Maguire (Earth-616)', 90)",Male
"WALSH, LYNN","('Lynn Michaels (Earth-616)', 86)",Female
"DEUTSCH, GEN.","('Amadeus Cho (Earth-616)', 68)",Male
"BURLINGAME, CALVIN","('Charles Burlingame (Earth-616)', 86)",Male
SLICK,"('Mister Slick (Earth-616)', 90)",Male
DR. BONG,"('Dr. Yao (Earth-616)', 86)",Male
SLUK,"('Luke Cage (Earth-616)', 68)",Male
FIREBUG/,"('Firebug (Earth-616)', 90)",Male
SLOTH,"('Candace Southern (Earth-616)', 72)",Female
"KEL, JANOTH","('Johnny Wakely (Earth-616)', 66)",Male
"PROSPERO, DR./HARPER","('William Harper Littlejohn (Earth-616)', 86)",Male
FERA,"('Fera (Earth-616)', 90)",Female
DARK HUNTER,"('Dark Hunter (Earth-616)', 90)",nan
WYRE/,"('Wyre (Earth-616)', 90)",Male
PROTOCIDE/PRIVATE CL,"('Protectroids', 57)",nan
QABIRI,"('Ja-Quari (Earth-616)', 62)",nan
DIZZIE,"('Maizie (Earth-616)', 62)",Female
"MADSDEN, TREVOR","('Trevor Hawkins (Earth-616)', 86)",Male
HYZAKTL,"('Zeaklar Belgewater (Earth-616)', 61)",Male
THAIS,"('Thais (Earth-616)', 90)",Male
RAINBOW,"('Rainbow (Spaceknight) (Earth-616)', 90)",Female
KRONOS,"('Kronos (Eternal) (Earth-616)', 90)",Male
"LARGO, CHIEF","('Red Hawk (Apache Chief) (Earth-616)', 86)",Male
ANACONDA/BLANCHE SIT,"('Blanche Sitznski (Earth-616)', 54)",Female
BARON SAMEDI,"('Baron Samedi (AIM) (Earth-616)', 90)",Male
CHI-CHEE,"('Chi-Chee (Earth-616)', 90)",Male
"O'CONNOR, A.C. ACE","('George Tarleton (M.O.D.O.K. Superior) (Earth-616)', 86)",Male
FORTUNATO,"('Vincente Fortunato (Earth-616)', 90)",Male
SKINNER,"('Skinner (Lilin) (Earth-616)', 90)",Male
KING CADAVER,"('King Cadaver (Earth-616)', 90)",Male
ENFORCER/DELAZNY,"('Scourge (Delazny) (Earth-616)', 86)",Male
"OZ, DR. MALACHI","('Malachi (Space Phantom) (Earth-616)', 86)",Male
MOONRAKER/SLADE TRUM,"('Hamilton Slade (Rider) (Earth-616)', 86)",Male
CARINA/CARINA WALTER,"('Walter (X-Men Students) (Earth-616)', 86)",Male
"FATE, IAN","('Ian Zola (Earth-616)', 86)",Male
"FLORES, JAMIE","('Alex Flores (Earth-616)', 86)",Female
FIELDER,"('Robert Fielder (Earth-616)', 90)",Male
"COLON, CHERYL","('Cheryl Colon (Earth-616)', 86)",Female
QUEEN OF STAR SWORDS,"('Sir Percy of Scandia (Earth-616)', 86)",Male
YSSA,"('Alyssa Moy (Earth-616)', 90)",Female
"HALE, NAN","('Kenneth Hale (Earth-616)', 86)",Male
POWERHOUSE/RIEG DAVA,"('Powerhouse (Mutant) (Earth-616)', 86)",Female
KHYBER/,"('Khyber (Earth-616)', 90)",Male
CARLY,"('Vanessa Carlysle (Earth-616)', 90)",Female
R'TEE,"(""R'tee (Earth-616)"", 90)",Male
THUNDERBIRD/JOHN PRO,"('John Jonah Jameson III (Earth-616)', 86)",Male
ZA'KEN,"(""Za'ken (Earth-616)"", 90)",Male
JILL,"('Jill Stacy (Earth-616)', 90)",Female
"KRAY, D'VON","('Victor von Doom (Earth-616)', 86)",Male
MANITOU,"('Gitche Manitou (Earth-616)', 90)",Male
WARP SAVANT,"('Warp Savant (Earth-616)', 90)",Male
VULTURE/ADRIAN TOOME,"('Adrian Turner (Earth-616)', 57)",Male
ODDBALL/ELTON HEALEY,"('Elton Healey (Earth-616)', 71)",Male
GROVEL,"('Grovel (Earth-616)', 90)",nan
JAVITZ,"('Isaac Javitz (Earth-616)', 90)",Male
MURMUR II/ARLETTE TR,"('Seeker II (Inhuman) (Earth-616)', 86)",Male
GIGANTUS,"('Gigantus (Aquatic Monster) (Earth-616)', 90)",Male
ANCIENT ONE,"('One Above All (Earth-616)', 86)",Male
"CHAPMAN, GEN. ULYSSE","('Ulysses (Pantheon) (Earth-616)', 56)",Male
AZOR,"('Razor (Raptor) (Earth-616)', 90)",nan
EZEKEEL,"('Ezekeel (Earth-616)', 90)",Male
"RAYMOND, FRED","('Thomas Raymond (Earth-616)', 86)",Male
"WHITE, PROFESSOR","('White Tiger (Evolved Tiger) (Earth-616)', 86)",Female
"O'NEILL, DET. BRADY","('George Tarleton (M.O.D.O.K. Superior) (Earth-616)', 86)",Male
CR'REEE,"(""Cr'reee (Earth-616)"", 90)",Male
CANCER II/,"('Shingen Harada II (Earth-616)', 86)",Male
"BERDITCHEV, ITZHAK","('Bulwark (Berditchev Agent) (Earth-616)', 86)",Male
"LITTLE, ABNER","('Abner Jenkins (Earth-616)', 86)",Male
HODER [ASGARDIAN],"('Lorelei (Asgardian) (Earth-616)', 86)",Female
NEIFI [INHUMAN],"('Seeker (Inhuman) (Earth-616)', 86)",Male
JEXIA,"('Jemiah (Earth-616)', 72)",Male
DAMBALLAH,"('Damballah (Demon) (Earth-616)', 90)",Male
KO-GAR,"('Aladi Ko Eke (Earth-616)', 86)",Female
MASTER MAN II/ALEXAN,"('Iron Man (Anthony \\""Tony\\"" Stark)', 86)",Male
EXPEDITER/JOHN WRAIT,"('John Jonah Jameson III (Earth-616)', 86)",Male
WOLFSBANE/RAHNE SINC,"('Nergal', 60)",nan
WONG CHU,"('Wong-Chu (Earth-616)', 90)",Male
ENTITY,"('Onslaught (Psychic Entity) (Earth-616)', 90)",Male
"CROSS, JASON","('Jason Wyngarde (Earth-616)', 86)",Male
APOCALYPSE/EN SABAH ,"('En Sabah Nur (Evan Sabahnur) (Earth-616)', 86)",Male
BIG ONE/KENJIRO SASA,"('Nameless One (Undying Ones Leader) (Earth-616)', 86)",Male
MADCAP,"('Madcap (Earth-616)', 90)",Male
VIRAKO,"('Virako (Earth-616)', 90)",Male
SAURON/DR. KARL LYKO,"('Karl von Horstbadden (Earth-616)', 86)",Male
CRIMEBUSTER/FRANK MO,"('Frank (Police Officer) (Earth-616)', 86)",Male
"DELGADO, FATHER","('Francis Xavier Delgado (Earth-616)', 86)",Male
NANNY,"(""Nanny (Magneto's Robot) (Earth-616)"", 90)",Female
TURK II,"('Turk Barrett (Earth-616)', 86)",Male
RINGLET,"('Ringlet (Earth-616)', 90)",Female
WARLORD,"('Warlock (Technarch) (Earth-616)', 64)",Male
ANGEL II/THOMAS HALL,"('Angel Dust (Christina) (Earth-616)', 86)",Female
CYRA [ASGARDIAN],"('Cyra (Asgardian) (Earth-616)', 90)",Female
HUMAN TORCH DOPPELGA,"('Human Torch (Android) (Earth-616)', 86)",Male
"BARKER, MATTHEW T.","('Matthew Murdock (Earth-616)', 86)",Male
"TAUREY, SIR WILLIAM","('Steven Rogers (William Burnside) (Earth-616)', 86)",Male
"BECKMAN, JOSEPH","('Joseph Robertson (Earth-616)', 86)",Male
PHOENIX III/RACHEL S,"('Warren Worthington III (Earth-616)', 86)",Male
MOONSTALKER/KIANA,"('Krang (Monster) (Earth-616)', 62)",Male
MIDGARD SERPENT,"('Steel Serpent (Davos) (Earth-616)', 86)",Male
"WATANABE, YUJI","('Yuri Watanabe (Earth-616)', 86)",Female
"STAPLES, EDNA M. GRA","('George Tarleton (M.O.D.O.K. Superior) (Earth-616)', 86)",Male
"SOAP, DET.","('Martin Soap (Earth-616)', 86)",Male
FLARE/,"('Flare (Microns) (Earth-616)', 90)",Female
"PARRISH, MAX","('Max Eisenhardt (Earth-616)', 86)",Male
AIREO/AEOLUS [INHUMA,"('Asmodeus (Inhuman) (Earth-616)', 59)",Male
NEDDA,"('Nedda (Earth-616)', 90)",Female
MANTIS (SPACE PHANTO,"('Malachi (Space Phantom) (Earth-616)', 86)",Male
THUNDERBIRD II/JAMES,"('Wolverine (James \\""Logan\\"" Howlett)', 86)",Male
"THOMPSON, JESSICA JE","('Jessica Jones (Skrull) (Earth-616)', 86)",Female
FORD,"('Kevin Ford (Earth-616)', 90)",Male
RED SKULL/JOHANN SCH,"('Red Raven (Liberty Legion) (Earth-616)', 86)",Male
"KRUMA, TALIA","('Talia Kruma (Earth-616)', 86)",Female
DR. SPECTRUM II/DR. ,"('Shingen Harada II (Earth-616)', 86)",Male
"PIERCE, DONALD","('Donald Blake (Earth-616)', 86)",Male
KREE IRON MAN [KREE],"('Iron Man (Anthony \\""Tony\\"" Stark)', 86)",Male
"FITZGERALD, KENNY","('Molly Fitzgerald (Earth-616)', 86)",Female
CANCER/JACK KLEVENO,"('Peter Parker (Jack) (Earth-616)', 86)",Male
THREETREES,"('Linda Littletrees (Earth-616)', 63)",Female
"VIENNEAU, JACQUES","('Jacques Duquesne (Earth-616)', 86)",Male
LA NUIT,"('Manuel de la Rocha (Earth-616)', 86)",Male
"ROTH, DR. GERALD","('Steven Rogers (Dr Bong Clone) (Earth-616)', 86)",Male
MOLE,"('Molek (Earth-616)', 90)",Male
SCRAMBLER,"('Shambler (Earth-616)', 70)",nan
SUPER SKRULL/KL'RT,"('Edwin Jarvis (Skrull) (Earth-616)', 86)",Male
"SPAULDING, JILL","('Peter Spaulding (Earth-616)', 86)",Male
"MORDO, ASTRID","('Karl Mordo (Earth-616)', 86)",Male
POLESTAR/,"('Leopold Stryke (Earth-616)', 68)",Male
SISTER DREAM,"('Sister Nil (Earth-616)', 86)",Female
BRIGHTWIND,"('Brightwind (Earth-616)', 90)",Male
"CHEN, DR.","('Chen Lu (Earth-616)', 86)",Male
GLABOO,"('Glaboo (Earth-616)', 90)",Male
VANESSA,"('Vanessa Carlysle (Earth-616)', 90)",Female
GAMBIT/REMY LEBEAU ,"('Remy LeBeau (Earth-616)', 72)",Male
MO,"('Amora (Earth-616)', 90)",Female
THRENODY,"(""Threnody's child (Earth-616)"", 90)",nan
EQUILIBRIUS,"('Equilibrius (Earth-616)', 90)",Male
"SILVERCLOUD, SAM","('Sam Silvercloud (Earth-616)', 86)",Male
MINISTER TOME,"('Minister Marvel (Earth-616)', 86)",Male
VENUS/APHRODITE/VICT,"('Aphrodite Ourania (Earth-616)', 59)",Female
SUN-TAO,"('Sun Tao (Earth-616)', 90)",Male
"STONE, TIBERIUS","('Marshall Stone III (Earth-616)', 86)",Male
GOLDEN-BLADE,"('Angela Golden (Earth-616)', 86)",Female
CORDITE,"('Cordite (Earth-616)', 90)",Male
"GATZ, WILLIAM BILLY","('Steven Rogers (William Burnside) (Earth-616)', 86)",Male
"SENNET, PAMELA","('Pamela Hawley (Earth-616)', 86)",Female
"LAU, KING","('Hannibal King (Earth-616)', 86)",Male
LORD CHAOS,"('Lord Chaos (Earth-616)', 90)",nan
COACHWHIP,"('Whiphand (Earth-616)', 57)",Male
GUARDIAN III,"('Warren Worthington III (Earth-616)', 86)",Male
QUASIMODO,"('Quasi-Motivational Destruct Organism (Earth-616)', 70)",Male
MOTHER NIGHT/SUSAN S,"('Night Raven (Vigilante) (Earth-616)', 86)",Male
SABRETOOTH | MUTANT ,"('Headhunter (Mutant) (Earth-616)', 86)",Female
"RASPUTIN, LUCIFER","('Mikhail Rasputin (Earth-616)', 86)",Male
FIREBRAND III/RICHAR,"('Warren Worthington III (Earth-616)', 86)",Male
"STRUCKER, ANDREAS","('Wolfgang von Strucker (Earth-616)', 86)",Male
"GREY, JEAN | MUTANT ","('Jean-Paul Beaubier (Earth-616)', 86)",Male
FIN FANG FOOM/MIDGAR,"('Fang (Imperial Guard) (Earth-616)', 86)",Male
BLOCKBUSTER II,"('Shingen Harada II (Earth-616)', 86)",Male
"PARKER, MARY (ROBOT)","('Peter Parker (Ben Reilly) (Earth-616)', 86)",Male
"GIDEON, CLAIRE","('Claire Temple (Earth-616)', 86)",Female
RAGGADORR,"('Raggadorr (Earth-616)', 90)",Male
TRACER,"('Trace Miller (Earth-616)', 78)",Male
VISARA,"('Visara (Earth-616)', 90)",Male
REPTILLA,"('Reptilla (Earth-616)', 90)",Female
SCREAMING MIMI/MELIS,"('Mime', 68)",Male
HOLLYWOOD,"('Marrina Smallwood (Earth-616)', 61)",Female
ZARAN/MAXIMILLIAN ZA,"('Maximillian Zaran (Earth-616)', 87)",Male
BLACK MAMBA/TANYA SE,"('Black Knight (Young Masters) (Earth-616)', 86)",Female
EL TORO NEGRO/SERGIO,"('Achmed El Gib\\u00e1r (Earth-616)', 86)",Male
"MOORE, TONI","('Toni Turner (Earth-616)', 86)",Female
SMART ALEC/ALEC THOR,"('Thor Odinson (Ragnarok) (Earth-616)', 86)",Male
"SAGE, HENRY","('Henry McCoy (Earth-616)', 86)",Male
SKYHAWK/WINSTON BILL,"('Bill (A.I.M. Agent) (Earth-616)', 86)",Male
RADIOACTIVE MAN/DR. ,"('Iron Man (Anthony \\""Tony\\"" Stark)', 86)",Male
"KUTUZOV, COL.","('Mikhail Kutuzov (Earth-616)', 86)",Male
ANTI-PHOENIX,"('Phoenix Force (Earth-616)', 86)",nan
WANDERER,"('Wanderer (Mutant) (Earth-616)', 90)",Female
PROFESSOR POWER/ANTH,"('Burgundy (Power Man Ally) (Earth-616)', 86)",Female
ISAAC,"('Isaac Christians (Earth-616)', 90)",Male
MR. JUSTICE/TIMOTHY ,"('Timothy Dugan (Skrull) (Earth-616)', 86)",Male
"KATZENBERG, NICK","('Nick Katzenberg (Earth-616)', 86)",Male
"KONIEV, MRS.","('Mrs. Jenks (Earth-616)', 86)",Female
DEMON BEAR,"('Demon Bear (Earth-616)', 90)",Male
"GRUENWALD, MARK","('Mark Hallett (Earth-616)', 86)",Male
"SITWELL, JASPER","('Jasper Sitwell (Earth-616)', 86)",Male
SNAKESKIN II/,"('Shingen Harada II (Earth-616)', 86)",Male
JEMIAH,"('Jemiah (Earth-616)', 90)",Male
"KINCAID, JIMMY","('Cessily Kincaid (Earth-616)', 86)",Female
BREAKER/RAAK,"('Bonebreaker (Earth-616)', 68)",Male
OKOYE,"('Okoye (Earth-616)', 90)",Female
"AUSTIN, SUSAN","('Susan Storm (Earth-616)', 86)",Female
"CAESAR, JONATHAN","('Jonathan Storm (Earth-616)', 86)",Male
PRESIDENT ITOES [TRI,"('Andrew Jackson (President) (Earth-616)', 86)",Male
"RAVEN, SABBATH II/EL","('Night Raven (Vigilante) (Earth-616)', 86)",Male
STAR,"('Iron Man (Anthony \\""Tony\\"" Stark)', 90)",Male
GARNOK REBBAHN,"('Garnok Rebbahn (Earth-616)', 90)",Male
PRETTY LARRY,"('Pretty Boy (Earth-616)', 86)",Male
"COOPER, DR. VALERIE","('Valerie Cooper (Earth-616)', 86)",Female
BATAL/,"('Batal (Earth-616)', 90)",Male
LADY OF THE LAKE,"('Sir Percy of Scandia (Earth-616)', 86)",Male
WHITEOUT,"('Whiteout (Earth-616)', 90)",Female
"EDGERTON, MR.","('Mr. Raven (Earth-616)', 86)",Male
PERSUASION/KARA KILL,"('Ryuki', 54)",Female
PRINCESS ZANDA,"('Ice Princess (Earth-616)', 86)",Female
LYJA LAZERFIST [SKRU,"('James Howlett (Skrull) (Earth-616)', 54)",Male
"SMITH, DR. ARMSTRONG","('Denis Nayland Smith (Earth-616)', 86)",Male
TEZCATLIPOCA,"('Tezcatlipoca (Earth-616)', 90)",Male
LOCKHART,"('Beck Lockhart (Earth-616)', 90)",Female
"ANGSTROM, EARL","('Earl Everett (Earth-616)', 86)",Male
ZANIAC II/THUG THATC,"('Thug (Sublime Corporation) (Earth-616)', 86)",Male
KARNILLA [ASGARDIAN],"('Lorelei (Asgardian) (Earth-616)', 86)",Female
HINKLEY,"('David Brinkley (Earth-616)', 77)",Male
VEEG,"('Veeg (Earth-616)', 90)",Male
KOFI [KYMELLIAN],"('Kofi Whitemane (Earth-616)', 86)",Male
SPHINX II,"('Shingen Harada II (Earth-616)', 86)",Male
"FELDSTADT, DR. HANS","('Steven Rogers (Dr Bong Clone) (Earth-616)', 86)",Male
"BLANDING, HALEY","('Andrew Blanding (Earth-616)', 86)",Male
SPRAGG,"('Spragg (Earth-616)', 90)",Male
"CROWLEY, SEN.","('Wyatt Crowley (Earth-616)', 86)",Male
